groupid,mindate,maxdate,age_mismatch
117,2007-08-01,2008-08-01,True
135,2002-01-01,2003-08-01,True
298,2003-08-01,2004-08-01,True
340,2004-01-01,2006-08-01,True
933,2003-09-01,2004-12-01,True
964,2002-10-01,2004-07-01,True
1155,2003-10-01,2005-08-01,True
1187,2003-04-01,2004-08-01,True
1438,2003-05-01,2004-08-01,True
1451,2001-03-01,2002-06-01,True
1641,2003-07-01,2004-07-01,True
1824,2003-02-01,2004-08-01,True
2487,2003-06-01,2004-07-01,True
2493,2003-02-01,2004-08-01,True
3417,2000-11-01,2002-10-01,True
3570,2010-07-01,2011-08-01,True
3586,2002-12-01,2004-08-01,True
3690,2003-02-01,2004-08-01,True
3867,2004-07-01,2005-08-01,True
4032,2011-08-01,2012-08-01,True
4044,2003-02-01,2004-07-01,True
4162,2003-07-01,2004-08-01,True
4945,2008-11-01,2010-07-01,True
5296,2002-09-01,2004-08-01,True
5301,2007-04-01,2008-04-01,True
5302,2005-06-01,2006-08-01,True
5448,2002-10-01,2004-08-01,True
5528,2007-03-01,2008-08-01,True
5559,2003-01-01,2004-06-01,True
5811,2006-10-01,2008-06-01,True
6003,2003-10-01,2005-08-01,True
6347,2004-01-01,2005-01-01,True
6432,2002-06-01,2003-08-01,True
6538,2001-10-01,2003-08-01,True
6657,2007-09-01,2008-09-01,True
6933,2001-11-01,2003-07-01,True
7092,2005-06-01,2006-08-01,True
7915,2002-12-01,2004-08-01,True
7976,2006-10-01,2008-07-01,True
8108,2003-08-01,2004-08-01,True
9131,2003-07-01,2004-07-01,True
9168,2002-09-01,2004-08-01,True
9429,2003-01-01,2004-07-01,True
9532,2003-05-01,2004-08-01,True
9804,2003-02-01,2004-06-01,True
10224,2004-05-01,2005-08-01,True
10257,2008-07-01,2009-08-01,True
10354,2003-02-01,2004-05-01,True
10782,2004-06-01,2005-08-01,True
11081,2002-12-01,2004-07-01,True
11304,2010-07-01,2011-08-01,True
11370,2003-04-01,2004-08-01,True
11758,2003-10-01,2005-08-01,True
